Date_reported,Country,New_cases
2020-01-03,Anguilla,0
2020-01-04,Anguilla,0
2020-01-05,Anguilla,0
2020-01-06,Anguilla,0
2020-01-07,Anguilla,0
2020-01-08,Anguilla,0
2020-01-09,Anguilla,0
2020-01-10,Anguilla,0
2020-01-11,Anguilla,0
2020-01-12,Anguilla,0
2020-01-13,Anguilla,0
2020-01-14,Anguilla,0
2020-01-15,Anguilla,0
2020-01-16,Anguilla,0
2020-01-17,Anguilla,0
2020-01-18,Anguilla,0
2020-01-19,Anguilla,0
2020-01-20,Anguilla,0
2020-01-21,Anguilla,0
2020-01-22,Anguilla,0
2020-01-23,Anguilla,0
2020-01-24,Anguilla,0
2020-01-25,Anguilla,0
2020-01-26,Anguilla,0
2020-01-27,Anguilla,0
2020-01-28,Anguilla,0
2020-01-29,Anguilla,0
2020-01-30,Anguilla,0
2020-01-31,Anguilla,0
2020-02-01,Anguilla,0
2020-02-02,Anguilla,0
2020-02-03,Anguilla,0
2020-02-04,Anguilla,0
2020-02-05,Anguilla,0
2020-02-06,Anguilla,0
2020-02-07,Anguilla,0
2020-02-08,Anguilla,0
2020-02-09,Anguilla,0
2020-02-10,Anguilla,0
2020-02-11,Anguilla,0
2020-02-12,Anguilla,0
2020-02-13,Anguilla,0
2020-02-14,Anguilla,0
2020-02-15,Anguilla,0
2020-02-16,Anguilla,0
2020-02-17,Anguilla,0
2020-02-18,Anguilla,0
2020-02-19,Anguilla,0
2020-02-20,Anguilla,0
2020-02-21,Anguilla,0
2020-02-22,Anguilla,0
2020-02-23,Anguilla,0
2020-02-24,Anguilla,0
2020-02-25,Anguilla,0
2020-02-26,Anguilla,0
2020-02-27,Anguilla,0
2020-02-28,Anguilla,0
2020-02-29,Anguilla,0
2020-03-01,Anguilla,0
2020-03-02,Anguilla,0
2020-03-03,Anguilla,0
2020-03-04,Anguilla,0
2020-03-05,Anguilla,0
2020-03-06,Anguilla,0
2020-03-07,Anguilla,0
2020-03-08,Anguilla,0
2020-03-09,Anguilla,0
2020-03-10,Anguilla,0
2020-03-11,Anguilla,0
2020-03-12,Anguilla,0
2020-03-13,Anguilla,0
2020-03-14,Anguilla,0
2020-03-15,Anguilla,0
2020-03-16,Anguilla,0
2020-03-17,Anguilla,0
2020-03-18,Anguilla,0
2020-03-19,Anguilla,0
2020-03-20,Anguilla,0
2020-03-21,Anguilla,0
2020-03-22,Anguilla,0
2020-03-23,Anguilla,0
2020-03-24,Anguilla,0
2020-03-25,Anguilla,0
2020-03-26,Anguilla,2
2020-03-27,Anguilla,0
2020-03-28,Anguilla,0
2020-03-29,Anguilla,0
2020-03-30,Anguilla,0
2020-03-31,Anguilla,0
2020-04-01,Anguilla,0
2020-04-02,Anguilla,0
2020-04-03,Anguilla,0
2020-04-04,Anguilla,1
2020-04-05,Anguilla,0
2020-04-06,Anguilla,0
2020-04-07,Anguilla,0
2020-04-08,Anguilla,0
2020-04-09,Anguilla,0
2020-04-10,Anguilla,0
