Fecha,Peru,Bolivia,Argentina,Chile
2020-03-03,0,0,5,5
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,1,4
2020-03-07,10,0,7,0
2020-03-08,0,0,3,5
2020-03-09,1,0,0,0
2020-03-10,2,0,0,3
2020-03-11,2,6,5,4
2020-03-12,6,0,2,6
2020-03-13,5,1,12,20
2020-03-14,6,0,14,18
2020-03-15,15,0,0,0
2020-03-16,28,8,11,14
2020-03-17,15,0,9,81
2020-03-18,59,1,32,82
2020-03-19,85,-1,0,100
2020-03-20,0,1,27,92
2020-03-21,84,3,30,0
2020-03-22,0,0,0,0
2020-03-23,0,5,67,198
2020-03-24,98,4,76,290
2020-03-25,0,0,0,0
2020-03-26,164,11,201,384
2020-03-27,0,0,0,0
2020-03-28,0,22,87,304
2020-03-29,55,13,101,299
2020-03-30,36,0,55,0
2020-03-31,181,23,75,540
2020-04-01,213,10,146,289
2020-04-02,258,8,88,293
2020-04-03,0,8,79,373
2020-04-04,91,9,132,333
2020-04-05,181,7,88,424
2020-04-06,151,18,98,310
2020-04-07,535,26,103,344
2020-04-08,280,11,74,301
2020-04-09,393,16,87,430
2020-04-10,1388,54,80,426
2020-04-11,914,4,134,529
2020-04-12,641,7,46,426
2020-04-13,951,25,0,286
2020-04-14,671,30,277,312
2020-04-15,0,24,84,392
2020-04-16,2784,43,141,356
2020-04-17,1172,44,121,534
2020-04-18,2014,24,96,445
2020-04-19,0,28,90,478
2020-04-20,931,27,55,358
2020-04-21,1208,44,121,419
2020-04-22,697,34,113,325
2020-04-23,1512,11,124,464
2020-04-24,1413,63,143,516
2020-04-25,1664,31,139,494
2020-04-26,734,104,222,552
2020-04-27,3683,59,137,473
2020-04-28,2186,84,54,482
2020-04-29,1182,64,127,552
2020-04-30,2491,39,182,520
2020-05-01,2741,57,103,1138
2020-05-02,3045,57,172,985
2020-05-03,3483,62,56,1427
2020-05-04,2075,241,149,1228
2020-05-05,3394,124,118,980
2020-05-06,1444,87,123,1373
2020-05-07,3817,121,154,1032
2020-05-08,3628,84,229,1533
2020-05-09,3709,195,225,1391
2020-05-10,3321,185,150,1247
2020-05-11,3168,171,244,1647
2020-05-12,2292,119,110,1197
2020-05-13,1515,275,244,1658
2020-05-14,3237,133,285,2660
2020-05-15,4247,184,410,2659
2020-05-16,4298,224,161,0
2020-05-17,3891,205,345,4388
2020-05-18,4046,249,326,2353
2020-05-19,3732,262,263,2278
2020-05-20,2660,175,303,0
2020-05-21,4550,218,438,7558
2020-05-22,4537,438,474,0
2020-05-23,4749,268,648,8240
2020-05-24,2929,392,718,3536
2020-05-25,4056,336,704,3709
2020-05-26,4205,348,723,4895
2020-05-27,4020,397,552,3964
2020-05-28,5772,476,600,4328
2020-05-29,6154,632,705,4654
2020-05-30,5874,619,769,3695
2020-05-31,6506,344,0,4220
2020-06-01,7386,861,1512,4830
2020-06-02,8805,390,637,5471
2020-06-03,5563,549,564,3527
2020-06-04,4845,460,904,4942
2020-06-05,4030,647,949,4664
