Departamento,Provincia,Municipio,Ciudad / Comunidad,pared_total,pared_ladrillo_cemento,pared_adobe_tapial,pared_tabique_quinche,pared_piedra,pared_madera,pared_canha_palma,pared_otro,techo_total,techo_calamina,techo_teja,techo_losa,techo_paja,techo_otro,piso_total,piso_tierra,piso_madera,piso_machimbre,piso_parquet,piso_ceramica,piso_cemento,piso_mosaico,piso_ladrillo,piso_otro
Chuquisaca,Total Chuquisaca,Total Chuquisaca,Total Chuquisaca,150202,58291,82470,2273,5089,895,371,813,150202,36296,67367,14806,28937,2796,150202,50817,954,2040,1788,22699,64707,2170,4238,789
Chuquisaca,Oropeza,Sucre,SUCRE,63108,45876,16579,202,81,21,13,336,63108,22780,25130,13134,231,1833,63108,3226,737,1959,1761,19400,31926,1820,1844,435
Chuquisaca,Oropeza,Sucre,KORA KORA,229,142,81,0,1,0,1,4,229,57,130,30,6,6,229,57,0,0,0,11,158,1,2,0
Chuquisaca,Oropeza,Sucre,LA PALMA,77,48,29,0,0,0,0,0,77,21,55,1,0,0,77,2,0,0,0,8,61,5,1,0
Chuquisaca,Oropeza,Sucre,ALTO KORA KORA,17,13,3,0,1,0,0,0,17,2,12,3,0,0,17,0,0,0,0,0,17,0,0,0
Chuquisaca,Oropeza,Sucre,CARAVIRI,33,1,31,1,0,0,0,0,33,14,12,0,7,0,33,25,0,0,0,0,8,0,0,0
Chuquisaca,Oropeza,Sucre,CHULLPAS,31,0,13,0,18,0,0,0,31,4,1,0,26,0,31,31,0,0,0,0,0,0,0,0
Chuquisaca,Oropeza,Sucre,JANAC KUCHU,50,2,47,0,1,0,0,0,50,15,25,0,10,0,50,42,0,0,0,0,8,0,0,0
Chuquisaca,Oropeza,Sucre,POTOLO,232,35,189,0,8,0,0,0,232,93,86,10,42,1,232,129,0,0,0,1,101,0,1,0
Chuquisaca,Oropeza,Sucre,SACOPAYA,98,0,97,1,0,0,0,0,98,16,43,0,37,2,98,75,0,0,0,0,21,0,2,0
Chuquisaca,Oropeza,Sucre,SAYACA,28,2,25,0,1,0,0,0,28,3,0,0,25,0,28,27,0,0,0,0,1,0,0,0
Chuquisaca,Oropeza,Sucre,AMAKURI,64,2,61,0,1,0,0,0,64,14,25,1,24,0,64,49,0,0,0,0,15,0,0,0
