departamento,Provincia,Municipio,ciudad_comunidad,techo_teja
Chuquisaca,Total,Total,Total,67367
,Oropeza,Sucre,SUCRE,25130
,Oropeza,Sucre,KORA KORA,130
,Oropeza,Sucre,LA PALMA,55
,Oropeza,Sucre,ALTO KORA KORA,12
,Oropeza,Sucre,CARAVIRI,12
,Oropeza,Sucre,CHULLPAS,1
,Oropeza,Sucre,JANAC KUCHU,25
,Oropeza,Sucre,POTOLO,86
,Oropeza,Sucre,SACOPAYA,43
,Oropeza,Sucre,SAYACA,0
,Oropeza,Sucre,AMAKURI,25
,Oropeza,Sucre,HUAYLLA PAMPA,13
,Oropeza,Sucre,QUESERA,35
,Oropeza,Sucre,SUNCHU PAMPA,4
,Oropeza,Sucre,CKOLPA KUCHO,0
,Oropeza,Sucre,TEJA MAYU,1
,Oropeza,Sucre,TURQUICHI,0
,Oropeza,Sucre,MARACORI,0
,Oropeza,Sucre,EL CHACO,99
,Oropeza,Sucre,PAREDON,64
,Oropeza,Sucre,TEJA HUASI,87
,Oropeza,Sucre,GUERRA LOMA,7
,Oropeza,Sucre,KHATALLA BAJA,37
,Oropeza,Sucre,SURIMA,154
,Oropeza,Sucre,CHAUNACA,48
,Oropeza,Sucre,CHUFLE,16
,Oropeza,Sucre,TUMPEKA,28
,Oropeza,Sucre,PURUMQUILA,64
,Oropeza,Sucre,SICI PUCO,12
,Oropeza,Sucre,TAJCHI,36
,Oropeza,Sucre,KUCHU TAMBO,74
,Oropeza,Sucre,QUILA QUILA,65
,Oropeza,Sucre,COYULI,1
,Oropeza,Sucre,THULLMA,9
,Oropeza,Sucre,MOLLE MOLLE,4
,Oropeza,Sucre,CHALLCOMA,16
,Oropeza,Sucre,PUNILLA GRANDE,7
,Oropeza,Sucre,QUIRAYTAMBO,23
,Oropeza,Sucre,SANTA CATALINA,7
,Oropeza,Sucre,RUFFO,0
,Oropeza,Sucre,QUILLA QUILLA MARKA,3
,Oropeza,Sucre,NIÑO MAYO,1
,Oropeza,Sucre,SAN ANTONIO,2
,Oropeza,Sucre,CHULLCHUTA,26
,Oropeza,Sucre,LECOPAYA,13
,Oropeza,Sucre,PICACHULO,49
,Oropeza,Sucre,GUZMAN,3
,Oropeza,Sucre,CAJAMARCA,27
,Oropeza,Sucre,KUSILLO,10
,Oropeza,Sucre,PUNILLA,23
,Oropeza,Sucre,QHOCHAPATA,22
,Oropeza,Sucre,YURUBAMBA,8
,Oropeza,Sucre,MAMA HUASI,6
,Oropeza,Sucre,MAJADA,2
,Oropeza,Sucre,SOCA PAMPA,1
,Oropeza,Sucre,ULUPICAS,4
,Oropeza,Sucre,MARAGUA,92
,Oropeza,Sucre,THONTORKA,5
,Oropeza,Sucre,HUMACA,18
,Oropeza,Sucre,MELGARAJUY,14
,Oropeza,Sucre,BELLA VISTA,48
,Oropeza,Sucre,CHAUPI MOLINO,25
,Oropeza,Sucre,COMPUERTA,48
,Oropeza,Sucre,CHAURURO,1
,Oropeza,Sucre,HUAÑOMA,4
,Oropeza,Sucre,SOTANI,16
,Oropeza,Sucre,FALAFAYA,10
,Oropeza,Sucre,THACOYU,15
,Oropeza,Sucre,EL TUNAL,3
,Oropeza,Sucre,MELONAR,10
,Oropeza,Sucre,KHULLKU TAMBO,10
,Oropeza,Sucre,SOICO,5
,Oropeza,Sucre,VALLE HERMOSO,16
,Oropeza,Sucre,SEWENKANI,14
,Oropeza,Sucre,VILCA LATA,12
,Oropeza,Sucre,PERAS PAMPA,13
,Oropeza,Sucre,PATA KATALLA,17
,Oropeza,Sucre,LIMON PAMPA,9
,Oropeza,Sucre,OVEJERIAS,28
,Oropeza,Sucre,KACHA KACHA,16
,Oropeza,Sucre,PORONGO,1
,Oropeza,Sucre,SACRAMENTO,10
,Oropeza,Sucre,TINI,10
,Oropeza,Sucre,KORI PUNKU,26
,Oropeza,Sucre,PAMPAS AGUILAR CKASA,3
,Oropeza,Sucre,ANGOSTURA,13
,Oropeza,Sucre,CHAQUITO QUIÑAL,13
,Oropeza,Sucre,MOJON PAMPA,0
,Oropeza,Sucre,LUJE,3
,Oropeza,Sucre,MOSOJ LLAJTA,17
,Oropeza,Sucre,MONTEROYOC,4
,Oropeza,Sucre,POCONCHI,0
,Oropeza,Sucre,CHALLA,3
,Oropeza,Sucre,TAMBO,9
,Oropeza,Sucre,CHACARILLA MOSOJLLAJTA,21
,Oropeza,Sucre,MONCHARI,10
,Oropeza,Sucre,MEDIA LUNA,11
,Oropeza,Sucre,MOJOTORO,44
,Oropeza,Sucre,CHACARILLA,21
,Oropeza,Sucre,CHUQUI CHUQUI,118
,Oropeza,Sucre,IMILLA HUAÑUSCA,34
,Oropeza,Sucre,KOLLPANA,7
,Oropeza,Sucre,MOJTULO,48
,Oropeza,Sucre,NARANJOS,18
,Oropeza,Sucre,QUIQUIJANA,4
,Oropeza,Sucre,TAPIAL,36
,Oropeza,Sucre,SAUSAL,13
,Oropeza,Sucre,CARAPARI,24
,Oropeza,Sucre,SURIMA CULATA,43
,Oropeza,Sucre,CAMOS,36
,Oropeza,Sucre,CANTU MOLINO,30
,Oropeza,Sucre,GUADALUPE,25
,Oropeza,Sucre,HORNOS,2
,Oropeza,Sucre,KAJCHI PATA,16
,Oropeza,Sucre,ORURILLO,13
,Oropeza,Sucre,SIVISTO,10
,Oropeza,Sucre,HUANIFAYA,2
,Oropeza,Sucre,VIÑA PAMPA,19
,Oropeza,Sucre,CORSO MAYU,1
,Oropeza,Sucre,GUAYABITAYUC,13
,Oropeza,Sucre,CHALLA SUCURANI,0
,Oropeza,Sucre,ARABATE,7
,Oropeza,Sucre,PUCA PUCA SANTIAGO,1
,Oropeza,Sucre,CHAUPI KHATALLA,25
,Oropeza,Sucre,SANTA ROSALIA,7
,Oropeza,Sucre,SOJTA PATA,4
,Oropeza,Sucre,WANCA PAMPA,2
,Oropeza,Sucre,FALAFAYA,20
,Oropeza,Sucre,SOJTA MAYU,2
,Oropeza,Sucre,SAN CRISTOBAL,3
,Oropeza,Sucre,KHOLLPA GRANDE,9
,Oropeza,Sucre,LLIMPHI,9
,Oropeza,Sucre,PAMPA GRANDE,16
,Oropeza,Sucre,SONKHO CHIPA,52
,Oropeza,Sucre,SUNCHU TAMBO,18
,Oropeza,Sucre,ZAPATERA,8
,Oropeza,Sucre,TOKIO,0
,Oropeza,Sucre,JUCHUY LLINFI,25
,Oropeza,Sucre,TAMBO KASA,12
,Oropeza,Sucre,ALDANA,38
,Oropeza,Sucre,ESMERALDA,7
,Oropeza,Sucre,HUATA,13
,Oropeza,Sucre,ALTO KORA KORA,22
,Oropeza,Sucre,KHOCHIS,15
,Oropeza,Sucre,MOLLE K`ASA,11
,Oropeza,Sucre,THAKOS,35
,Oropeza,Sucre,AZARI BAJA,23
,Oropeza,Sucre,LECHUGUILLAS,10
,Oropeza,Sucre,MOLLE MAYU,3
,Oropeza,Sucre,QARA HUASI,5
,Oropeza,Sucre,DURAZNILLO,18
,Oropeza,Sucre,ESPERANZA,40
,Oropeza,Sucre,CHAUPI LLIMFI VILLA MARIA,4
,Oropeza,Sucre,SAN JUAN  DE CACHIMAYO,14
,Oropeza,Sucre,PUNILLA,7
,Oropeza,Yotala,ACEITUNO,1
,Oropeza,Yotala,CANTO ÑUJCHU,53
,Oropeza,Yotala,CABEZAS,47
,Oropeza,Yotala,CAMPANARIO,59
,Oropeza,Yotala,JATUN ERA,7
,Oropeza,Yotala,PATA CACHIMAYU,14
,Oropeza,Yotala,SIGUAYO,9
,Oropeza,Yotala,URA CACHIMAYU,20
,Oropeza,Yotala,UÑALA,42
,Oropeza,Yotala,VILLA ROSARIO,19
,Oropeza,Yotala,YOTALILLA,68
,Oropeza,Yotala,CORTIJO,29
,Oropeza,Yotala,MOLLE MOLLE,23
,Oropeza,Yotala,MOSOJ LLAJTA,84
,Oropeza,Yotala,PERAS PAMPA,19
,Oropeza,Yotala,SALANCACHI,33
,Oropeza,Yotala,SAN ISIDRO DE ANFAYA,118
,Oropeza,Yotala,TASAPAMPA,26
,Oropeza,Yotala,TOTACOA,33
,Oropeza,Yotala,VILLA EL CARMEN,49
,Oropeza,Yotala,VILLA SANTA ROSA,35
,Oropeza,Yotala,VILLA VICTORIA,13
,Oropeza,Yotala,WASA ÑUJCHU,18
,Oropeza,Yotala,YOTALA,321
,Oropeza,Yotala,CHILLPA ÑUCCHU,23
