Departamento,Provincia,Municipio,ciudad_comunidad,total_agua,red,pileta,aguatero,pozo,pozo_sin_bomba,lluvia,laguna,total_desague,alcantarillado,camara_septica,pozo_ciego,calle,quebrada,a_laguna,total_electricidad,red_electrica,motor,panel_solar,otra,no_tiene
Santa Cruz,Todos,Todos,SANTA CRUZ,644854,537612,37066,2352,31934,18463,13205,4222,578675,232509,123932,220241,1556,208,229,644854,565515,10808,6175,5625,56731
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,SANTA CRUZ DE LA SIERRA,360022,339429,17891,258,1738,480,148,78,348350,192531,74661,80406,722,8,22,360022,354714,659,50,763,3836
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,CASITAS,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,8,0,0,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,MESON,63,52,0,0,11,0,0,0,29,2,6,20,1,0,0,63,45,1,0,0,17
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,GUADALUPE,5,0,0,0,5,0,0,0,4,0,3,1,0,0,0,5,0,3,0,1,1
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,SAN LORENZO,50,10,22,1,10,7,0,0,28,0,4,24,0,0,0,50,31,4,0,0,15
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,VILLA FLOR,260,127,22,0,94,15,0,2,188,3,49,135,1,0,0,260,238,0,2,2,18
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,CORTADERA,62,0,0,0,2,20,18,22,2,0,0,0,0,0,2,62,0,0,0,0,62
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,PORESAQUI,52,26,1,1,20,4,0,0,36,0,9,27,0,0,0,52,30,4,4,0,14
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,JORORI,94,42,44,0,5,3,0,0,74,1,16,57,0,0,0,94,88,1,0,0,5
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,TIJERAS,20,12,0,0,7,1,0,0,15,0,1,14,0,0,0,20,13,1,2,0,4
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,USURO,24,0,1,0,18,5,0,0,22,0,2,20,0,0,0,24,16,4,0,0,4
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,LAS MALVINAS,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,USURI,80,46,5,0,26,2,1,0,71,0,11,58,1,0,1,80,69,0,0,0,11
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,EL CUCHI,8,0,0,0,7,1,0,0,5,0,0,5,0,0,0,8,8,0,0,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,HABRA,8,0,0,1,3,3,1,0,4,0,0,4,0,0,0,8,8,0,0,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,LOS JUNOS,6,0,0,0,5,1,0,0,5,0,0,5,0,0,0,6,0,1,2,0,3
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,LAS PAVAS,7,0,0,0,6,1,0,0,6,0,2,4,0,0,0,7,6,1,0,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,SANTA RITA,246,18,0,0,149,72,0,7,107,0,2,105,0,0,0,246,0,133,3,0,110
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,EL PALMAR DEL ORATORIO,50,45,0,0,4,0,1,0,16,1,2,13,0,0,0,50,45,0,0,0,5
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,CANADIENSE 1,26,0,0,0,24,2,0,0,26,2,1,23,0,0,0,26,22,1,3,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,ZAFRANILLA,149,77,0,1,66,5,0,0,146,5,45,96,0,0,0,149,134,0,5,2,8
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,MONTERO HOYO,486,382,21,2,72,6,2,1,437,9,160,268,0,0,0,486,444,7,1,3,31
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,12 DE JULIO,69,22,3,0,34,8,1,1,44,0,11,33,0,0,0,69,39,5,8,1,16
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,VILLA VIANA,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,LAS PEÑAS,469,294,60,0,106,7,2,0,112,0,22,90,0,0,0,469,433,4,0,0,32
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,PAURITO,404,328,16,1,51,8,0,0,359,0,110,248,0,0,1,404,373,7,0,1,23
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,TIPOY,76,47,2,0,23,3,1,0,53,0,23,30,0,0,0,76,44,0,0,4,28
Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,TUNDY,129,79,7,2,35,6,0,0,108,0,36,72,0,0,0,129,105,9,2,0,13
Santa Cruz,Andrés Ibáñez,Cotoca,COTOCA,4300,3944,270,4,67,8,4,3,4033,1620,721,1684,7,0,1,4300,4153,17,2,17,111
Santa Cruz,Andrés Ibáñez,Cotoca,CAMPANERO,435,312,113,2,5,2,1,0,370,1,72,297,0,0,0,435,412,1,0,1,21
